slippage,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 16:45:00+00:00,2025-05-27 16:47:00+00:00,21443.0000,2025-05-27 20:47:00+00:00,21474.2500,time_exit,36.0268,21370.9464,21623.1339,31.2500,0.4337,2025-05-27 16:47:00.003412235+00:00,21443.0000,2025-05-27 20:59:58.434496261+00:00,21476.0000,time_exit,0.4580,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 16:45:00+00:00,2025-05-27 16:51:00+00:00,5925.7500,2025-05-27 20:51:00+00:00,5940.0000,time_exit,8.4107,5908.9286,5967.8036,14.2500,0.8471,2025-05-27 16:51:00.312166099+00:00,5926.0000,2025-05-27 20:59:59.577301183+00:00,5940.5000,time_exit,0.8494,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 17:00:00+00:00,2025-05-27 17:02:00+00:00,21442.7500,2025-05-27 20:59:00+00:00,21476.2500,time_exit,36.0268,21370.6964,21622.8839,33.5000,0.4649,2025-05-27 17:02:00.072455301+00:00,21443.0000,2025-05-27 22:00:00+00:00,21468.3750,time_exit,0.3510,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 17:00:00+00:00,2025-05-27 17:02:00+00:00,5926.7500,2025-05-27 20:59:00+00:00,5940.2500,time_exit,8.4107,5909.9286,5968.8036,13.5000,0.8025,2025-05-27 17:02:00.012001671+00:00,5926.7500,2025-05-27 22:00:00+00:00,5941.0000,time_exit,0.8471,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 18:00:00+00:00,2025-05-27 18:02:00+00:00,21481.5000,2025-05-27 22:02:00+00:00,21467.0000,time_exit,35.8929,21409.7143,21660.9643,-14.5000,-0.2020,2025-05-27 18:02:00.062322709+00:00,21481.7500,2025-05-27 22:59:49.458237995+00:00,21471.0000,time_exit,-0.1492,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 18:00:00+00:00,2025-05-27 18:06:00+00:00,5934.0000,2025-05-27 22:06:00+00:00,5937.2500,time_exit,8.4911,5917.0179,5976.4554,3.2500,0.1914,2025-05-27 18:06:00.016314455+00:00,5934.0000,2025-05-27 22:59:56.726761871+00:00,5939.1250,time_exit,0.3018,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 20:00:00+00:00,2025-05-27 20:02:00+00:00,5933.7500,2025-05-28 00:02:00+00:00,5935.5000,time_exit,8.3705,5917.0089,5975.6027,1.7500,0.1045,2025-05-27 20:02:00.001278425+00:00,5934.0000,2025-05-28 00:59:57.855512679+00:00,5936.0000,time_exit,0.1177,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 20:15:00+00:00,2025-05-27 20:19:00+00:00,5940.7500,2025-05-28 00:19:00+00:00,5935.7500,time_exit,8.0625,5924.6250,5981.0625,-5.0000,-0.3101,2025-05-27 20:19:00.688417595+00:00,5941.0000,2025-05-28 01:14:58.572689741+00:00,5936.3750,time_exit,-0.2824,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-27 22:15:00+00:00,2025-05-27 22:19:00+00:00,5937.2500,2025-05-28 02:19:00+00:00,5935.0000,time_exit,6.3080,5949.8661,5905.7098,2.2500,0.1783,2025-05-27 22:19:20.546812569+00:00,5937.2500,2025-05-28 03:14:59.863982521+00:00,5936.1250,time_exit,0.0892,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 23:00:00+00:00,2025-05-27 23:02:00+00:00,21473.2500,2025-05-28 03:02:00+00:00,21465.5000,time_exit,25.2991,21422.6518,21599.7455,-7.7500,-0.1532,2025-05-27 23:02:00.259482961+00:00,21473.7500,2025-05-28 03:59:51.834564775+00:00,21443.8750,time_exit,-0.5847,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bullish,long,2025-05-27 23:00:00+00:00,2025-05-27 23:02:00+00:00,5939.5000,2025-05-28 03:02:00+00:00,5933.2500,time_exit,6.0000,5927.5000,5969.5000,-6.2500,-0.5208,2025-05-27 23:02:03.498765739+00:00,5939.5000,2025-05-28 03:59:59.014438733+00:00,5929.8750,time_exit,-0.8021,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bullish,long,2025-05-27 20:00:00+00:00,2025-05-27 20:02:00+00:00,21454.5000,2025-05-28 00:02:00+00:00,21462.2500,time_exit,36.0268,21382.4464,21634.6339,7.7500,0.1076,2025-05-27 20:02:00.000717841+00:00,21455.0000,2025-05-28 00:59:57.838891051+00:00,21469.3750,time_exit,0.1981,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-28 00:15:00+00:00,2025-05-28 00:22:00+00:00,5935.7500,2025-05-28 04:22:00+00:00,5929.7500,time_exit,5.2366,5946.2232,5909.5670,6.0000,0.5729,2025-05-28 00:22:00.648268585+00:00,5935.5000,2025-05-28 05:14:59.386700639+00:00,5928.8750,time_exit,0.6178,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bearish,short,2025-05-28 03:45:00+00:00,2025-05-28 03:47:00+00:00,21447.2500,2025-05-28 07:47:00+00:00,21443.2500,time_exit,13.5268,21474.3036,21379.6161,4.0000,0.1479,2025-05-28 03:47:04.794332557+00:00,21447.2500,2025-05-28 08:44:34.645611545+00:00,21438.6250,time_exit,0.3188,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-28 03:45:00+00:00,2025-05-28 03:47:00+00:00,5930.2500,2025-05-28 07:47:00+00:00,5926.7500,time_exit,3.1607,5936.5714,5914.4464,3.5000,0.5537,2025-05-28 03:47:00.614422041+00:00,5930.2500,2025-05-28 08:44:36.178091719+00:00,5926.6250,time_exit,0.5734,,,
no_slippage,fvg_zone_took_high_all,2025,NQ.c.0,bearish,short,2025-05-28 04:00:00+00:00,2025-05-28 04:02:00+00:00,21440.7500,2025-05-28 08:02:00+00:00,21438.2500,time_exit,13.9821,21468.7143,21370.8393,2.5000,0.0894,2025-05-28 04:02:00.004824697+00:00,21440.0000,2025-05-28 08:59:58.324245257+00:00,21419.2500,time_exit,0.7226,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-28 04:00:00+00:00,2025-05-28 04:02:00+00:00,5929.5000,2025-05-28 08:02:00+00:00,5925.5000,time_exit,3.2009,5935.9018,5913.4955,4.0000,0.6248,2025-05-28 04:02:00.005792875+00:00,5929.2500,2025-05-28 08:59:57.711219911+00:00,5922.6250,time_exit,0.9960,,,
no_slippage,fvg_zone_took_high_all,2025,ES.c.0,bearish,short,2025-05-28 04:45:00+00:00,2025-05-28 04:47:00+00:00,5928.7500,2025-05-28 08:47:00+00:00,5924.5000,time_exit,2.6384,5934.0268,5915.5580,4.2500,0.8054,2025-05-28 04:47:04.144949489+00:00,5928.5000,2025-05-28 09:44:58.087780551+00:00,5920.6250,time_exit,1.4249,,,
