variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,entry_ts_tbbo,entry_price_tbbo,exit_ts_tbbo,exit_price_tbbo,exit_reason_tbbo,pnl_r_tbbo,target_hit_ts,stop_hit_ts,note
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-11 00:00:00+00:00,2025-07-11 00:03:00+00:00,6325.7500,2025-07-11 00:16:00+00:00,6316.6429,stop,4.5536,6316.6429,6348.5179,-9.1071,-1.0000,2025-07-11 00:03:04.202729271+00:00,6326.0000,2025-07-11 00:16:36.940343349+00:00,6316.5000,stop,-1.0153,,2025-07-11 00:16:36.940343349+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-07-11 06:00:00+00:00,2025-07-11 06:04:00+00:00,22946.2500,2025-07-11 10:04:00+00:00,22870.7500,time_exit,30.7366,23007.7232,22792.5670,75.5000,1.2282,2025-07-11 06:04:01.870917657+00:00,22946.2500,2025-07-11 10:59:59.785177179+00:00,22872.3750,time_exit,1.2017,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-07-11 08:00:00+00:00,2025-07-11 08:02:00+00:00,6292.5000,2025-07-11 12:02:00+00:00,6289.5000,time_exit,4.9286,6302.3571,6267.8571,3.0000,0.3043,2025-07-11 08:02:00.084344255+00:00,6292.2500,2025-07-11 12:59:59.240874081+00:00,6289.2500,time_exit,0.2968,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-07-11 14:00:00+00:00,2025-07-11 14:02:00+00:00,6294.7500,2025-07-11 15:42:00+00:00,6309.1339,stop,7.1920,6309.1339,6258.7902,-14.3839,-1.0000,2025-07-11 14:02:00.008400677+00:00,6294.5000,2025-07-11 15:42:17.272830529+00:00,6309.0000,stop,-0.9909,,2025-07-11 15:42:17.272830529+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-07-13 22:00:00+00:00,2025-07-13 22:02:00+00:00,22828.0000,2025-07-14 02:02:00+00:00,22861.0000,time_exit,33.0804,22894.1607,22662.5982,-33.0000,-0.4988,2025-07-13 22:02:00.186004629+00:00,22828.0000,2025-07-14 02:59:52.708664245+00:00,22857.5000,time_exit,-0.4459,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-07-13 22:00:00+00:00,2025-07-13 22:02:00+00:00,6269.5000,2025-07-14 02:02:00+00:00,6272.7500,time_exit,7.2321,6283.9643,6233.3393,-3.2500,-0.2247,2025-07-13 22:02:00.078039339+00:00,6269.5000,2025-07-14 02:59:59.474792201+00:00,6270.6250,time_exit,-0.0778,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-07-14 00:00:00+00:00,2025-07-14 00:02:00+00:00,22859.7500,2025-07-14 04:02:00+00:00,22868.7500,time_exit,33.1875,22926.1250,22693.8125,-9.0000,-0.1356,2025-07-14 00:02:00.432177613+00:00,22859.7500,2025-07-14 04:59:46.532098387+00:00,22862.3750,time_exit,-0.0395,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-07-14 00:00:00+00:00,2025-07-14 00:02:00+00:00,6274.0000,2025-07-14 04:02:00+00:00,6272.0000,time_exit,7.5670,6289.1339,6236.1652,2.0000,0.1322,2025-07-14 00:02:00.134413733+00:00,6274.0000,2025-07-14 04:59:56.742159549+00:00,6270.8750,time_exit,0.2065,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,low,short,2025-07-14 06:00:00+00:00,2025-07-14 06:02:00+00:00,22829.0000,2025-07-14 07:47:00+00:00,22861.0357,stop,16.0179,22861.0357,22748.9107,-32.0357,-1.0000,2025-07-14 06:02:00.971242423+00:00,22828.2500,2025-07-14 07:47:38.124924959+00:00,22861.5000,stop,-1.0142,,2025-07-14 07:47:38.124924959+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,low,short,2025-07-14 06:00:00+00:00,2025-07-14 06:02:00+00:00,6264.2500,2025-07-14 07:44:00+00:00,6271.6161,stop,3.6830,6271.6161,6245.8348,-7.3661,-1.0000,2025-07-14 06:02:00.128784375+00:00,6264.2500,2025-07-14 07:44:44.181932063+00:00,6271.7500,stop,-1.0182,,2025-07-14 07:44:44.181932063+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-14 13:00:00+00:00,2025-07-14 13:02:00+00:00,22899.0000,2025-07-14 13:43:00+00:00,22857.9643,stop,20.5179,22857.9643,23001.5893,-41.0357,-1.0000,2025-07-14 13:02:00.235733911+00:00,22899.7500,2025-07-14 13:43:38.358745927+00:00,22857.5000,stop,-1.0111,2025-07-14 15:01:32.257477011+00:00,2025-07-14 13:43:38.358745927+00:00,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-14 15:00:00+00:00,2025-07-14 15:02:00+00:00,23001.2500,2025-07-14 19:02:00+00:00,23054.2500,time_exit,30.8304,22939.5893,23155.4018,53.0000,0.8595,2025-07-14 15:02:00.025353225+00:00,23001.2500,2025-07-14 19:59:59.999522055+00:00,23034.3750,time_exit,0.5372,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-14 17:00:00+00:00,2025-07-14 17:03:00+00:00,23042.5000,2025-07-14 20:59:00+00:00,23036.2500,time_exit,33.1741,22976.1518,23208.3705,-6.2500,-0.0942,2025-07-14 17:03:00.123833511+00:00,23042.5000,2025-07-14 20:59:58.575414343+00:00,23036.1250,time_exit,-0.0961,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-14 17:00:00+00:00,2025-07-14 17:03:00+00:00,6308.5000,2025-07-14 20:59:00+00:00,6309.5000,time_exit,6.5491,6295.4018,6341.2455,1.0000,0.0763,2025-07-14 17:03:00.106066769+00:00,6308.5000,2025-07-14 22:00:00+00:00,6316.3750,time_exit,0.6012,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-14 16:00:00+00:00,2025-07-14 16:02:00+00:00,23004.7500,2025-07-14 20:02:00+00:00,23029.5000,time_exit,31.3929,22941.9643,23161.7143,24.7500,0.3942,2025-07-14 16:02:00.133279631+00:00,23005.0000,2025-07-14 20:59:58.575414343+00:00,23036.1250,time_exit,0.4938,,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,NQ.c.0,high,long,2025-07-14 22:00:00+00:00,2025-07-14 22:03:00+00:00,23021.2500,2025-07-15 01:51:00+00:00,23143.5268,target,24.4554,22972.3393,23143.5268,122.2768,2.5000,2025-07-14 22:03:03.930024925+00:00,23023.0000,2025-07-15 01:51:38.903294779+00:00,23143.5268,target,2.3791,2025-07-15 01:51:38.903294779+00:00,,
B_sweep_REVERSED,sweep_ob_confirm_all,2025,ES.c.0,high,long,2025-07-14 22:00:00+00:00,2025-07-14 22:03:00+00:00,6305.5000,2025-07-15 01:52:00+00:00,6332.2188,target,5.3438,6294.8125,6332.2188,26.7188,2.5000,2025-07-14 22:03:04.977356283+00:00,6305.7500,2025-07-15 01:52:13.530998313+00:00,6332.2188,target,2.4200,2025-07-15 01:52:13.530998313+00:00,,
