config,signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,NQ.c.0,gap_down,short,2022-06-12 22:00:00+00:00,0.9256,1,2022-06-12 22:02:00+00:00,11695.7500,2022-06-12 22:06:00+00:00,11720.8214,stop,16.7143,11720.8214,11645.6071,-25.0714,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-06-12 22:00:00+00:00,0.9765,1,2022-06-12 22:02:00+00:00,3868.2500,2022-06-13 00:43:00+00:00,3850.5714,target,5.8929,3877.0893,3850.5714,17.6786,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,YM.c.0,gap_down,short,2022-08-21 22:00:00+00:00,0.9352,1,2022-08-21 22:02:00+00:00,33608.0000,2022-08-21 22:30:00+00:00,33629.8571,stop,14.5714,33629.8571,33564.2857,-21.8571,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,YM.c.0,gap_down,short,2022-08-21 22:00:00+00:00,0.9352,1,2022-08-21 22:02:00+00:00,33608.0000,2022-08-21 22:30:00+00:00,33629.8571,stop,14.5714,33629.8571,33564.2857,-21.8571,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-08-28 22:00:00+00:00,0.9430,1,2022-08-28 22:03:00+00:00,4025.5000,2022-08-29 00:57:00+00:00,4009.8571,target,5.2143,4033.3214,4009.8571,15.6429,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-08-28 22:00:00+00:00,0.9430,1,2022-08-28 22:03:00+00:00,4025.5000,2022-08-29 00:57:00+00:00,4009.8571,target,5.2143,4033.3214,4009.8571,15.6429,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-10-02 22:00:00+00:00,0.9268,1,2022-10-02 22:05:00+00:00,3593.2500,2022-10-02 22:12:00+00:00,3601.6339,stop,5.5893,3601.6339,3576.4821,-8.3839,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-10-02 22:00:00+00:00,0.9268,1,2022-10-02 22:05:00+00:00,3593.2500,2022-10-02 22:12:00+00:00,3601.6339,stop,5.5893,3601.6339,3576.4821,-8.3839,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,NQ.c.0,gap_down,short,2022-10-30 22:00:00+00:00,0.9241,1,2022-10-30 22:02:00+00:00,11571.5000,2022-10-31 00:35:00+00:00,11535.8750,target,11.8750,11589.3125,11535.8750,35.6250,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,NQ.c.0,gap_down,short,2022-10-30 22:00:00+00:00,0.9241,1,2022-10-30 22:02:00+00:00,11571.5000,2022-10-31 00:35:00+00:00,11535.8750,target,11.8750,11589.3125,11535.8750,35.6250,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-11-06 23:00:00+00:00,0.9657,1,2022-11-06 23:03:00+00:00,3749.5000,2022-11-06 23:11:00+00:00,3755.1786,stop,3.7857,3755.1786,3738.1429,-5.6786,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-11-06 23:00:00+00:00,0.9657,1,2022-11-06 23:03:00+00:00,3749.5000,2022-11-06 23:11:00+00:00,3755.1786,stop,3.7857,3755.1786,3738.1429,-5.6786,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,NQ.c.0,gap_down,short,2022-11-27 23:00:00+00:00,0.9757,1,2022-11-27 23:02:00+00:00,11721.5000,2022-11-27 23:11:00+00:00,11736.8750,stop,10.2500,11736.8750,11690.7500,-15.3750,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-11-27 23:00:00+00:00,0.9556,1,2022-11-27 23:02:00+00:00,4018.7500,2022-11-27 23:15:00+00:00,4022.9018,stop,2.7679,4022.9018,4010.4464,-4.1518,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,YM.c.0,gap_down,short,2022-11-27 23:00:00+00:00,0.9445,1,2022-11-27 23:02:00+00:00,34281.0000,2022-11-27 23:15:00+00:00,34315.0714,stop,22.7143,34315.0714,34212.8571,-34.0714,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,NQ.c.0,gap_down,short,2022-11-27 23:00:00+00:00,0.9757,1,2022-11-27 23:02:00+00:00,11721.5000,2022-11-27 23:11:00+00:00,11736.8750,stop,10.2500,11736.8750,11690.7500,-15.3750,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,ES.c.0,gap_down,short,2022-11-27 23:00:00+00:00,0.9556,1,2022-11-27 23:02:00+00:00,4018.7500,2022-11-27 23:15:00+00:00,4022.9018,stop,2.7679,4022.9018,4010.4464,-4.1518,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2022,YM.c.0,gap_down,short,2022-11-27 23:00:00+00:00,0.9445,1,2022-11-27 23:02:00+00:00,34281.0000,2022-11-27 23:15:00+00:00,34315.0714,stop,22.7143,34315.0714,34212.8571,-34.0714,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2023,YM.c.0,gap_down,short,2023-01-29 23:00:00+00:00,0.8547,1,2023-01-29 23:03:00+00:00,34010.0000,2023-01-30 02:03:00+00:00,33991.0000,time_exit,20.7857,34041.1786,33947.6429,19.0000,0.6094
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2023,YM.c.0,gap_down,short,2023-01-29 23:00:00+00:00,0.8547,1,2023-01-29 23:03:00+00:00,34010.0000,2023-01-30 02:03:00+00:00,33991.0000,time_exit,20.7857,34041.1786,33947.6429,19.0000,0.6094
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2023,ES.c.0,gap_down,short,2023-02-05 23:00:00+00:00,0.8519,1,2023-02-05 23:03:00+00:00,4137.2500,2023-02-05 23:04:00+00:00,4130.7143,target,2.1786,4140.5179,4130.7143,6.5357,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2023,ES.c.0,gap_down,short,2023-02-05 23:00:00+00:00,0.8519,1,2023-02-05 23:03:00+00:00,4137.2500,2023-02-05 23:04:00+00:00,4130.7143,target,2.1786,4140.5179,4130.7143,6.5357,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2023,NQ.c.0,gap_down,short,2023-04-02 22:00:00+00:00,0.9139,1,2023-04-02 22:02:00+00:00,13253.0000,2023-04-03 00:02:00+00:00,13226.2679,target,8.9107,13266.3661,13226.2679,26.7321,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2023,ES.c.0,gap_down,short,2023-04-02 22:00:00+00:00,0.8579,1,2023-04-02 22:02:00+00:00,4129.2500,2023-04-02 22:46:00+00:00,4132.9196,stop,2.4464,4132.9196,4121.9107,-3.6696,-1.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2023,NQ.c.0,gap_down,short,2023-04-02 22:00:00+00:00,0.9139,1,2023-04-02 22:02:00+00:00,13253.0000,2023-04-03 00:02:00+00:00,13226.2679,target,8.9107,13266.3661,13226.2679,26.7321,2.0000
v4_winner_stop1.5_tgt3.0_tw180,ogap_gap_down_rejection,2023,ES.c.0,gap_down,short,2023-04-02 22:00:00+00:00,0.8579,1,2023-04-02 22:02:00+00:00,4129.2500,2023-04-02 22:46:00+00:00,4132.9196,stop,2.4464,4132.9196,4121.9107,-3.6696,-1.0000
