slippage,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r,family,entry_hour_utc
primary_2tick,2018,NQ.c.0,bearish,short,2018-11-26 00:00:00+00:00,2018-11-26 00:05:00+00:00,6561.0,2018-11-26 04:05:00+00:00,6571.5,time_exit,19.942,6600.8839,6461.2902,-10.5,-0.2633,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-11-26 06:00:00+00:00,2018-11-26 06:05:00+00:00,2644.0,2018-11-26 07:07:00+00:00,2650.0982,stop,2.7991,2649.5982,2630.0045,-6.0982,-1.0893,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-26 12:00:00+00:00,2018-11-26 12:03:00+00:00,2661.75,2018-11-26 13:42:00+00:00,2655.3839,stop,2.933,2655.8839,2676.4152,-6.3661,-1.0852,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-11-26 15:00:00+00:00,2018-11-26 15:02:00+00:00,2670.0,2018-11-26 15:36:00+00:00,2662.1071,stop,3.6964,2662.6071,2688.4821,-7.8929,-1.0676,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bearish,short,2018-11-26 16:00:00+00:00,2018-11-26 16:02:00+00:00,2667.75,2018-11-26 20:02:00+00:00,2672.0,time_exit,3.7366,2675.2232,2649.067,-4.25,-0.5687,OB strict,
primary_2tick,2018,NQ.c.0,bearish,short,2018-11-27 00:00:00+00:00,2018-11-27 00:02:00+00:00,6639.75,2018-11-27 04:02:00+00:00,6654.25,time_exit,17.1964,6674.1429,6553.7679,-14.5,-0.4216,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-11-27 07:00:00+00:00,2018-11-27 07:02:00+00:00,2665.75,2018-11-27 07:33:00+00:00,2678.942,target,2.6384,2660.4732,2678.942,13.192,2.5,Sweep reversed (filtered),7.0
primary_2tick,2018,ES.c.0,bearish,short,2018-11-27 08:00:00+00:00,2018-11-27 08:03:00+00:00,2669.0,2018-11-27 12:03:00+00:00,2663.0,time_exit,4.6429,2678.2857,2645.7857,6.0,0.6462,OB strict,
primary_2tick,2018,NQ.c.0,high,long,2018-11-27 15:00:00+00:00,2018-11-27 15:04:00+00:00,6657.25,2018-11-27 19:04:00+00:00,6710.0,time_exit,16.2321,6624.7857,6738.4107,52.75,1.6249,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bearish,short,2018-11-28 00:00:00+00:00,2018-11-28 00:04:00+00:00,2684.5,2018-11-28 04:04:00+00:00,2685.5,time_exit,4.6205,2693.7411,2661.3973,-1.0,-0.1082,OB strict,
primary_2tick,2018,NQ.c.0,high,long,2018-11-28 07:00:00+00:00,2018-11-28 07:02:00+00:00,6743.25,2018-11-28 07:44:00+00:00,6730.2946,stop,6.2277,6730.7946,6774.3884,-12.9554,-1.0401,Sweep reversed (filtered),7.0
primary_2tick,2018,ES.c.0,bullish,long,2018-11-28 08:00:00+00:00,2018-11-28 08:02:00+00:00,2687.75,2018-11-28 08:43:00+00:00,2683.125,stop,2.0625,2683.625,2698.0625,-4.625,-1.1212,OB strict,
primary_2tick,2018,NQ.c.0,high,long,2018-11-28 15:00:00+00:00,2018-11-28 15:02:00+00:00,6756.75,2018-11-28 15:15:00+00:00,6735.0357,stop,10.6071,6735.5357,6809.7857,-21.7143,-1.0236,Sweep reversed (filtered),15.0
primary_2tick,2018,ES.c.0,bearish,short,2018-11-28 16:00:00+00:00,2018-11-28 16:02:00+00:00,2688.75,2018-11-28 16:52:00+00:00,2695.9732,stop,3.3616,2695.4732,2671.942,-7.2232,-1.0744,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-11-29 00:00:00+00:00,2018-11-29 00:03:00+00:00,2739.25,2018-11-29 04:03:00+00:00,2738.0,time_exit,6.375,2752.0,2707.375,1.25,0.098,OB strict,
primary_2tick,2018,ES.c.0,high,long,2018-11-29 07:00:00+00:00,2018-11-29 07:03:00+00:00,2735.75,2018-11-29 10:46:00+00:00,2731.5804,stop,1.8348,2732.0804,2744.9241,-4.1696,-1.1363,Sweep reversed (filtered),7.0
primary_2tick,2018,NQ.c.0,high,long,2018-11-29 16:00:00+00:00,2018-11-29 16:02:00+00:00,6850.25,2018-11-29 19:51:00+00:00,6935.25,target,17.0,6816.25,6935.25,85.0,2.5,Sweep reversed (filtered),16.0
primary_2tick,2018,ES.c.0,bearish,short,2018-11-29 20:00:00+00:00,2018-11-29 20:02:00+00:00,2752.75,2018-11-30 00:02:00+00:00,2740.25,time_exit,5.3438,2763.4375,2726.0312,12.5,1.1696,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-11-30 00:00:00+00:00,2018-11-30 00:02:00+00:00,2739.25,2018-11-30 04:02:00+00:00,2742.0,time_exit,4.9955,2749.2411,2714.2723,-2.75,-0.2752,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-11-30 04:00:00+00:00,2018-11-30 04:02:00+00:00,2741.25,2018-11-30 08:02:00+00:00,2740.25,time_exit,2.9196,2747.0893,2726.6518,1.0,0.1713,OB strict,
primary_2tick,2018,ES.c.0,bearish,short,2018-11-30 08:00:00+00:00,2018-11-30 08:02:00+00:00,2739.0,2018-11-30 11:05:00+00:00,2731.1652,target,1.567,2742.1339,2731.1652,7.8348,2.5,OB strict,
primary_2tick,2018,ES.c.0,bullish,long,2018-11-30 12:00:00+00:00,2018-11-30 12:04:00+00:00,2730.0,2018-11-30 13:21:00+00:00,2739.8438,target,1.9688,2726.0625,2739.8438,9.8438,2.5,OB strict,
