_ts,y_true,p_test,threshold,pnl_r
2025-06-29 22:00:00+00:00,0,0.8485,0.7000,-1.0000
2025-07-01 22:00:00+00:00,1,0.7646,0.7000,1.0000
2025-07-02 22:00:00+00:00,0,0.7269,0.7000,-1.0000
2025-07-02 22:00:00+00:00,0,0.7238,0.7000,-1.0000
2025-07-03 22:00:00+00:00,1,0.7199,0.7000,1.0000
2025-07-07 22:00:00+00:00,0,0.7361,0.7000,-1.0000
2025-07-09 22:00:00+00:00,0,0.7309,0.7000,-1.0000
2025-07-13 22:00:00+00:00,1,0.9117,0.7000,1.0000
2025-07-13 22:00:00+00:00,1,0.8898,0.7000,1.0000
2025-07-13 22:00:00+00:00,1,0.8631,0.7000,1.0000
2025-07-13 22:00:00+00:00,1,0.9117,0.7000,1.0000
2025-07-13 22:00:00+00:00,1,0.8898,0.7000,1.0000
2025-07-13 22:00:00+00:00,1,0.8631,0.7000,1.0000
2025-07-14 22:00:00+00:00,1,0.7181,0.7000,1.0000
2025-07-17 22:00:00+00:00,1,0.7599,0.7000,1.0000
2025-07-23 22:00:00+00:00,1,0.7580,0.7000,1.0000
2025-07-23 22:00:00+00:00,1,0.7425,0.7000,1.0000
2025-07-24 22:00:00+00:00,1,0.7299,0.7000,1.0000
2025-07-28 22:00:00+00:00,0,0.7420,0.7000,-1.0000
2025-07-31 22:00:00+00:00,1,0.7452,0.7000,1.0000
2025-07-31 22:00:00+00:00,0,0.8099,0.7000,-1.0000
2025-08-03 22:00:00+00:00,0,0.7847,0.7000,-1.0000
2025-08-03 22:00:00+00:00,0,0.7694,0.7000,-1.0000
2025-08-03 22:00:00+00:00,0,0.7833,0.7000,-1.0000
2025-08-03 22:00:00+00:00,0,0.7847,0.7000,-1.0000
2025-08-03 22:00:00+00:00,0,0.7694,0.7000,-1.0000
2025-08-03 22:00:00+00:00,0,0.7833,0.7000,-1.0000
2025-08-05 22:00:00+00:00,0,0.7310,0.7000,-1.0000
2025-08-06 22:00:00+00:00,1,0.7357,0.7000,1.0000
2025-08-07 22:00:00+00:00,0,0.7232,0.7000,-1.0000
2025-08-10 22:00:00+00:00,1,0.7932,0.7000,1.0000
2025-08-10 22:00:00+00:00,1,0.8755,0.7000,1.0000
2025-08-10 22:00:00+00:00,1,0.7932,0.7000,1.0000
2025-08-10 22:00:00+00:00,1,0.8755,0.7000,1.0000
2025-08-12 22:00:00+00:00,1,0.7383,0.7000,1.0000
2025-08-14 22:00:00+00:00,0,0.7050,0.7000,-1.0000
2025-08-14 22:00:00+00:00,1,0.7383,0.7000,1.0000
2025-08-19 22:00:00+00:00,0,0.7374,0.7000,-1.0000
2025-08-26 22:00:00+00:00,1,0.7956,0.7000,1.0000
2025-09-01 22:00:00+00:00,1,0.7469,0.7000,1.0000
2025-09-03 22:00:00+00:00,1,0.7612,0.7000,1.0000
2025-09-07 22:00:00+00:00,1,0.8213,0.7000,1.0000
2025-09-07 22:00:00+00:00,1,0.8213,0.7000,1.0000
2025-09-10 22:00:00+00:00,0,0.7929,0.7000,-1.0000
2025-09-15 22:00:00+00:00,1,0.7244,0.7000,1.0000
2025-09-16 22:00:00+00:00,0,0.7183,0.7000,-1.0000
2025-09-17 22:00:00+00:00,0,0.7179,0.7000,-1.0000
2025-09-17 22:00:00+00:00,1,0.7004,0.7000,1.0000
2025-09-18 22:00:00+00:00,0,0.7383,0.7000,-1.0000
2025-10-02 22:00:00+00:00,1,0.7114,0.7000,1.0000
2025-10-09 22:00:00+00:00,0,0.7894,0.7000,-1.0000
2025-10-22 22:00:00+00:00,1,0.8003,0.7000,1.0000
2025-10-22 22:00:00+00:00,1,0.7693,0.7000,1.0000
2025-10-27 22:00:00+00:00,1,0.7341,0.7000,1.0000
2025-10-29 22:00:00+00:00,1,0.8514,0.7000,1.0000
2025-10-29 22:00:00+00:00,1,0.8294,0.7000,1.0000
2025-10-29 22:00:00+00:00,1,0.8386,0.7000,1.0000
2025-11-04 23:00:00+00:00,1,0.7029,0.7000,1.0000
2025-11-04 23:00:00+00:00,0,0.7314,0.7000,-1.0000
2025-11-04 23:00:00+00:00,1,0.7491,0.7000,1.0000
2025-11-05 23:00:00+00:00,1,0.7367,0.7000,1.0000
2025-11-16 23:00:00+00:00,1,0.8059,0.7000,1.0000
