variant,signal,test_year,symbol,anchor_side,direction,fire_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-23 00:00:00+00:00,2021-11-23 00:02:00+00:00,4683.5000,2021-11-23 04:02:00+00:00,4680.5000,time_exit,8.9330,4701.3661,4638.8348,3.0000,0.1679
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-23 04:00:00+00:00,2021-11-23 04:04:00+00:00,4680.0000,2021-11-23 08:04:00+00:00,4668.7500,time_exit,6.3214,4692.6429,4648.3929,11.2500,0.8898
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-23 07:00:00+00:00,2021-11-23 07:04:00+00:00,16339.5000,2021-11-23 11:04:00+00:00,16325.7500,time_exit,18.2009,16375.9018,16248.4955,13.7500,0.3777
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-23 07:00:00+00:00,2021-11-23 07:04:00+00:00,4673.2500,2021-11-23 11:04:00+00:00,4673.5000,time_exit,4.1518,4681.5536,4652.4911,-0.2500,-0.0301
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-23 15:00:00+00:00,2021-11-23 15:02:00+00:00,16360.0000,2021-11-23 15:53:00+00:00,16202.4330,target,31.5134,16423.0268,16202.4330,157.5670,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-23 15:00:00+00:00,2021-11-23 15:02:00+00:00,4683.7500,2021-11-23 16:02:00+00:00,4649.3304,target,6.8839,4697.5179,4649.3304,34.4196,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-23 23:00:00+00:00,2021-11-23 23:03:00+00:00,16303.5000,2021-11-24 03:03:00+00:00,16285.2500,time_exit,62.4777,16428.4554,15991.1116,18.2500,0.1461
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-23 23:00:00+00:00,2021-11-23 23:03:00+00:00,4686.2500,2021-11-24 03:03:00+00:00,4680.5000,time_exit,11.4777,4709.2054,4628.8616,5.7500,0.2505
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-24 00:00:00+00:00,2021-11-24 00:02:00+00:00,4685.0000,2021-11-24 04:02:00+00:00,4680.2500,time_exit,9.5893,4665.8214,4732.9464,-4.7500,-0.2477
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-24 00:00:00+00:00,2021-11-24 00:07:00+00:00,16302.0000,2021-11-24 04:07:00+00:00,16281.2500,time_exit,49.5938,16401.1875,16054.0312,20.7500,0.2092
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-24 00:00:00+00:00,2021-11-24 00:07:00+00:00,4686.5000,2021-11-24 04:07:00+00:00,4678.5000,time_exit,9.5893,4705.6786,4638.5536,8.0000,0.4171
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-24 06:00:00+00:00,2021-11-24 06:02:00+00:00,4688.2500,2021-11-24 08:01:00+00:00,4682.0893,stop,3.0804,4682.0893,4703.6518,-6.1607,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-24 07:00:00+00:00,2021-11-24 07:02:00+00:00,4691.2500,2021-11-24 07:30:00+00:00,4685.4643,stop,2.8929,4685.4643,4705.7143,-5.7857,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-24 09:00:00+00:00,2021-11-24 09:04:00+00:00,16292.5000,2021-11-24 13:04:00+00:00,16234.2500,time_exit,15.1875,16322.8750,16216.5625,58.2500,1.9177
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-24 20:00:00+00:00,2021-11-24 20:03:00+00:00,4690.0000,2021-11-25 00:03:00+00:00,4702.7500,time_exit,8.0625,4673.8750,4730.3125,12.7500,0.7907
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-24 23:00:00+00:00,2021-11-24 23:02:00+00:00,16358.2500,2021-11-25 03:02:00+00:00,16371.7500,time_exit,39.3616,16279.5268,16555.0580,13.5000,0.1715
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-24 23:00:00+00:00,2021-11-24 23:03:00+00:00,4701.7500,2021-11-25 03:03:00+00:00,4707.5000,time_exit,7.0179,4687.7143,4736.8393,5.7500,0.4097
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-25 00:00:00+00:00,2021-11-25 00:03:00+00:00,16362.0000,2021-11-25 04:03:00+00:00,16389.2500,time_exit,31.9152,16298.1696,16521.5759,27.2500,0.4269
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-25 00:00:00+00:00,2021-11-25 00:03:00+00:00,4702.7500,2021-11-25 04:03:00+00:00,4711.5000,time_exit,5.8125,4691.1250,4731.8125,8.7500,0.7527
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-25 07:00:00+00:00,2021-11-25 07:09:00+00:00,16417.0000,2021-11-25 11:09:00+00:00,16402.7500,time_exit,8.2366,16400.5268,16458.1830,-14.2500,-0.8650
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-25 07:00:00+00:00,2021-11-25 07:02:00+00:00,4717.0000,2021-11-25 07:27:00+00:00,4713.1696,stop,1.9152,4713.1696,4726.5759,-3.8304,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-25 15:00:00+00:00,2021-11-25 15:02:00+00:00,16414.7500,2021-11-25 17:59:00+00:00,16404.5000,time_exit,14.5312,16385.6875,16487.4062,-10.2500,-0.3527
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-25 15:00:00+00:00,2021-11-25 15:02:00+00:00,4708.5000,2021-11-25 17:59:00+00:00,4705.5000,time_exit,2.8795,4702.7411,4722.8973,-3.0000,-0.5209
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-25 23:00:00+00:00,2021-11-25 23:02:00+00:00,4704.0000,2021-11-25 23:32:00+00:00,4690.5402,target,2.6920,4709.3839,4690.5402,13.4598,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-25 23:00:00+00:00,2021-11-25 23:04:00+00:00,16405.0000,2021-11-25 23:31:00+00:00,16377.1161,stop,13.9420,16377.1161,16474.7098,-27.8839,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-25 23:00:00+00:00,2021-11-25 23:04:00+00:00,4703.7500,2021-11-25 23:20:00+00:00,4698.3661,stop,2.6920,4698.3661,4717.2098,-5.3839,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-26 00:00:00+00:00,2021-11-26 00:02:00+00:00,16365.0000,2021-11-26 02:15:00+00:00,16293.4821,target,14.3036,16393.6071,16293.4821,71.5179,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-26 00:00:00+00:00,2021-11-26 00:02:00+00:00,4686.7500,2021-11-26 01:39:00+00:00,4669.4062,target,3.4688,4693.6875,4669.4062,17.3438,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,high,long,2021-11-26 00:00:00+00:00,2021-11-26 00:05:00+00:00,16354.5000,2021-11-26 00:52:00+00:00,16325.8929,stop,14.3036,16325.8929,16426.0179,-28.6071,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-26 07:00:00+00:00,2021-11-26 07:03:00+00:00,16244.7500,2021-11-26 11:03:00+00:00,16185.5000,time_exit,25.6205,16295.9911,16116.6473,59.2500,1.1563
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-26 07:00:00+00:00,2021-11-26 07:03:00+00:00,4636.7500,2021-11-26 08:18:00+00:00,4602.4643,target,6.8571,4650.4643,4602.4643,34.2857,2.5000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-26 15:00:00+00:00,2021-11-26 15:02:00+00:00,16206.7500,2021-11-26 18:14:00+00:00,16043.5000,time_exit,44.1696,16295.0893,15985.9018,163.2500,1.8480
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-26 15:00:00+00:00,2021-11-26 15:02:00+00:00,4613.2500,2021-11-26 18:14:00+00:00,4579.0000,time_exit,11.9062,4637.0625,4553.7188,34.2500,1.4383
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-26 16:00:00+00:00,2021-11-26 16:02:00+00:00,16088.2500,2021-11-26 18:14:00+00:00,16043.5000,time_exit,47.4509,16183.1518,15850.9955,44.7500,0.4715
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-28 23:00:00+00:00,2021-11-28 23:03:00+00:00,16121.7500,2021-11-29 01:44:00+00:00,16232.5357,stop,55.3929,16232.5357,15844.7857,-110.7857,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-28 23:00:00+00:00,2021-11-28 23:03:00+00:00,4611.7500,2021-11-29 01:48:00+00:00,4638.6964,stop,13.4732,4638.6964,4544.3839,-26.9464,-1.0000
B_sweep_REVERSED,sweep_ob_confirm_all,2021,NQ.c.0,low,short,2021-11-29 00:00:00+00:00,2021-11-29 00:04:00+00:00,16184.5000,2021-11-29 04:04:00+00:00,16240.2500,time_exit,58.7143,16301.9286,15890.9286,-55.7500,-0.4748
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,low,short,2021-11-29 00:00:00+00:00,2021-11-29 00:04:00+00:00,4626.7500,2021-11-29 04:04:00+00:00,4638.7500,time_exit,15.6027,4657.9554,4548.7366,-12.0000,-0.3845
B_sweep_REVERSED,sweep_ob_confirm_all,2021,ES.c.0,high,long,2021-11-29 07:00:00+00:00,2021-11-29 07:05:00+00:00,4635.0000,2021-11-29 08:58:00+00:00,4621.8482,stop,6.5759,4621.8482,4667.8795,-13.1518,-1.0000
