test_year,signal_name,fire_ts,symbol,anchor_side,p_test,y_true,direction_rule
2023,ogap_gap_down_rejection,2023-02-05 23:00:00+00:00,NQ.c.0,gap_down,0.8948,1,fixed_short
2023,ogap_gap_down_rejection,2023-02-05 23:00:00+00:00,ES.c.0,gap_down,0.8519,1,fixed_short
2023,ogap_gap_down_rejection,2023-02-05 23:00:00+00:00,NQ.c.0,gap_down,0.8948,1,fixed_short
2023,ogap_gap_down_rejection,2023-02-05 23:00:00+00:00,ES.c.0,gap_down,0.8519,1,fixed_short
2023,ogap_gap_down_rejection,2023-03-01 23:00:00+00:00,NQ.c.0,gap_down,0.8531,1,fixed_short
2023,ogap_gap_down_rejection,2023-03-05 23:00:00+00:00,NQ.c.0,gap_down,0.8857,1,fixed_short
2023,ogap_gap_down_rejection,2023-03-05 23:00:00+00:00,NQ.c.0,gap_down,0.8857,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-02 22:00:00+00:00,NQ.c.0,gap_down,0.9139,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-02 22:00:00+00:00,ES.c.0,gap_down,0.8579,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-02 22:00:00+00:00,NQ.c.0,gap_down,0.9139,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-02 22:00:00+00:00,ES.c.0,gap_down,0.8579,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-09 22:00:00+00:00,YM.c.0,gap_down,0.8795,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-09 22:00:00+00:00,YM.c.0,gap_down,0.8795,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-13 22:00:00+00:00,YM.c.0,gap_down,0.8494,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-27 22:00:00+00:00,NQ.c.0,gap_down,0.9155,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-27 22:00:00+00:00,ES.c.0,gap_down,0.8971,1,fixed_short
2023,ogap_gap_down_rejection,2023-04-27 22:00:00+00:00,YM.c.0,gap_down,0.8776,0,fixed_short
2023,ogap_gap_down_rejection,2023-05-03 22:00:00+00:00,NQ.c.0,gap_down,0.8688,1,fixed_short
2023,ogap_gap_down_rejection,2023-05-03 22:00:00+00:00,ES.c.0,gap_down,0.8772,1,fixed_short
2023,ogap_gap_down_rejection,2023-05-21 22:00:00+00:00,NQ.c.0,gap_down,0.9387,1,fixed_short
2023,ogap_gap_down_rejection,2023-05-21 22:00:00+00:00,ES.c.0,gap_down,0.9105,1,fixed_short
