signal,test_year,symbol,anchor_side,direction,fire_ts,p_test,label_y_true,entry_ts,entry_price,exit_ts,exit_price,exit_reason,atr,stop_price,target_price,pnl_pts,pnl_r
smt_pd_high_thesis,2025,YM.c.0,high,short,2025-08-11 00:00:00+00:00,0.9787,1,2025-08-11 00:04:00+00:00,44322.0000,2025-08-11 00:07:00+00:00,44331.7143,stop,9.7143,44331.7143,44302.5714,-9.7143,-1.0000
smt_pd_high_thesis,2025,ES.c.0,high,short,2025-10-22 03:00:00+00:00,0.9613,1,2025-10-22 03:02:00+00:00,6775.2500,2025-10-22 03:19:00+00:00,6771.8929,target,1.6786,6776.9286,6771.8929,3.3571,2.0000
smt_pd_high_thesis,2025,NQ.c.0,high,short,2025-11-06 00:00:00+00:00,0.9699,1,2025-11-06 00:02:00+00:00,25759.0000,2025-11-06 00:13:00+00:00,25717.8571,target,20.5714,25779.5714,25717.8571,41.1429,2.0000
smt_pd_high_thesis,2025,ES.c.0,high,short,2025-11-17 00:00:00+00:00,0.9669,1,2025-11-17 00:03:00+00:00,6767.0000,2025-11-17 00:32:00+00:00,6773.3214,stop,6.3214,6773.3214,6754.3571,-6.3214,-1.0000
ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-05 23:00:00+00:00,0.9438,1,2020-01-05 23:02:00+00:00,3219.2500,2020-01-05 23:20:00+00:00,3221.5893,stop,2.3393,3221.5893,3214.5714,-2.3393,-1.0000
ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-05 23:00:00+00:00,0.9438,1,2020-01-05 23:02:00+00:00,3219.2500,2020-01-05 23:20:00+00:00,3221.5893,stop,2.3393,3221.5893,3214.5714,-2.3393,-1.0000
ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9140,1,2020-01-26 23:02:00+00:00,9051.7500,2020-01-26 23:07:00+00:00,9033.1071,target,9.3214,9061.0714,9033.1071,18.6429,2.0000
ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9406,1,2020-01-26 23:02:00+00:00,3265.7500,2020-01-26 23:07:00+00:00,3259.3214,target,3.2143,3268.9643,3259.3214,6.4286,2.0000
ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9140,1,2020-01-26 23:02:00+00:00,9051.7500,2020-01-26 23:07:00+00:00,9033.1071,target,9.3214,9061.0714,9033.1071,18.6429,2.0000
ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-01-26 23:00:00+00:00,0.9406,1,2020-01-26 23:02:00+00:00,3265.7500,2020-01-26 23:07:00+00:00,3259.3214,target,3.2143,3268.9643,3259.3214,6.4286,2.0000
ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.9155,0,2020-02-02 23:04:00+00:00,9029.0000,2020-02-02 23:11:00+00:00,9003.5357,target,12.7321,9041.7321,9003.5357,25.4643,2.0000
ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-02-02 23:00:00+00:00,0.9155,0,2020-02-02 23:04:00+00:00,9029.0000,2020-02-02 23:11:00+00:00,9003.5357,target,12.7321,9041.7321,9003.5357,25.4643,2.0000
ogap_gap_down_rejection,2020,NQ.c.0,gap_down,short,2020-02-17 23:00:00+00:00,0.8990,1,2020-02-17 23:02:00+00:00,9594.0000,2020-02-17 23:03:00+00:00,9596.3214,stop,2.3214,9596.3214,9589.3571,-2.3214,-1.0000
ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-23 23:00:00+00:00,0.9183,1,2020-02-23 23:05:00+00:00,3305.5000,2020-02-23 23:09:00+00:00,3300.5000,target,2.5000,3308.0000,3300.5000,5.0000,2.0000
ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-02-23 23:00:00+00:00,0.9183,1,2020-02-23 23:05:00+00:00,3305.5000,2020-02-23 23:09:00+00:00,3300.5000,target,2.5000,3308.0000,3300.5000,5.0000,2.0000
ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-08 22:00:00+00:00,0.9128,1,2020-03-08 22:02:00+00:00,2872.2500,2020-03-08 22:03:00+00:00,2850.1429,target,11.0536,2883.3036,2850.1429,22.1071,2.0000
ogap_gap_down_rejection,2020,ES.c.0,gap_down,short,2020-03-08 22:00:00+00:00,0.9128,1,2020-03-08 22:02:00+00:00,2872.2500,2020-03-08 22:03:00+00:00,2850.1429,target,11.0536,2883.3036,2850.1429,22.1071,2.0000
