config,test_year,n,cum_r,win_rate
v5_stop1.5_tgt3.0_tw240,2022,99,-3.0000,0.3232
v5_stop1.5_tgt3.0_tw240,2023,110,24.5556,0.5000
v5_stop1.5_tgt3.0_tw240,2024,121,62.9942,0.6033
v5_stop1.5_tgt3.0_tw240,2025,118,-48.1535,0.2542
v5_stop1.5_tgt3.5_tw240,2020,102,76.2840,0.5490
v5_stop1.5_tgt3.5_tw240,2021,79,25.4817,0.4557
v5_stop1.5_tgt3.5_tw240,2022,99,-5.6667,0.2828
v5_stop1.5_tgt3.5_tw240,2023,110,16.9329,0.4636
v5_stop1.5_tgt3.5_tw240,2024,121,47.5487,0.5372
v5_stop1.5_tgt3.5_tw240,2025,118,-42.1535,0.2542
v5_stop1.5_tgt4.0_tw240,2020,102,86.8722,0.5490
v5_stop1.5_tgt4.0_tw240,2021,79,17.4817,0.4051
v5_stop1.5_tgt4.0_tw240,2022,99,-22.3010,0.2424
v5_stop1.5_tgt4.0_tw240,2023,110,22.2662,0.4636
v5_stop1.5_tgt4.0_tw240,2024,121,56.5487,0.5372
v5_stop1.5_tgt4.0_tw240,2025,118,-36.1535,0.2542
v5_stop1.75_tgt2.5_tw240,2020,102,52.0031,0.6275
v5_stop1.75_tgt2.5_tw240,2021,79,5.3229,0.4557
v5_stop1.75_tgt2.5_tw240,2022,99,-11.5714,0.3636
v5_stop1.75_tgt2.5_tw240,2023,110,10.8004,0.5000
v5_stop1.75_tgt2.5_tw240,2024,121,43.2107,0.6364
v5_stop1.75_tgt2.5_tw240,2025,118,-57.1750,0.2542
v5_stop1.75_tgt3.0_tw240,2020,102,57.1623,0.5882
v5_stop1.75_tgt3.0_tw240,2021,79,9.9843,0.4557
v5_stop1.75_tgt3.0_tw240,2022,99,-1.2857,0.3636
v5_stop1.75_tgt3.0_tw240,2023,110,16.1050,0.5000
v5_stop1.75_tgt3.0_tw240,2024,121,54.3535,0.6364
v5_stop1.75_tgt3.0_tw240,2025,118,-52.0322,0.2542
v5_stop1.75_tgt3.5_tw240,2020,102,64.2465,0.5882
v5_stop1.75_tgt3.5_tw240,2021,79,15.6986,0.4557
v5_stop1.75_tgt3.5_tw240,2022,99,-3.0000,0.3232
v5_stop1.75_tgt3.5_tw240,2023,110,8.9999,0.4636
v5_stop1.75_tgt3.5_tw240,2024,121,39.9717,0.5702
v5_stop1.75_tgt3.5_tw240,2025,118,-46.8893,0.2542
v5_stop1.75_tgt4.0_tw240,2020,102,73.3221,0.5882
v5_stop1.75_tgt4.0_tw240,2021,79,21.4129,0.4557
v5_stop1.75_tgt4.0_tw240,2022,99,-16.6866,0.2828
v5_stop1.75_tgt4.0_tw240,2023,110,13.5713,0.4636
v5_stop1.75_tgt4.0_tw240,2024,121,47.6860,0.5702
v5_stop1.75_tgt4.0_tw240,2025,118,-41.7465,0.2542
v5_stop2.0_tgt2.5_tw240,2020,102,48.6041,0.6667
v5_stop2.0_tgt2.5_tw240,2021,79,17.2825,0.5570
v5_stop2.0_tgt2.5_tw240,2022,99,5.0512,0.4848
v5_stop2.0_tgt2.5_tw240,2023,110,8.0754,0.5182
v5_stop2.0_tgt2.5_tw240,2024,121,33.8093,0.6364
v5_stop2.0_tgt2.5_tw240,2025,118,-60.5282,0.2542
v5_stop2.0_tgt3.0_tw240,2020,102,53.1184,0.6275
v5_stop2.0_tgt3.0_tw240,2021,79,17.5408,0.5570
v5_stop2.0_tgt3.0_tw240,2022,99,16.0512,0.4848
v5_stop2.0_tgt3.0_tw240,2023,110,13.2169,0.5182
v5_stop2.0_tgt3.0_tw240,2024,121,43.5593,0.6364
v5_stop2.0_tgt3.0_tw240,2025,118,-56.0282,0.2542
v5_stop2.0_tgt3.5_tw240,2020,102,59.3170,0.6275
v5_stop2.0_tgt3.5_tw240,2021,79,16.0757,0.5063
v5_stop2.0_tgt3.5_tw240,2022,99,16.0512,0.4444
v5_stop2.0_tgt3.5_tw240,2023,110,6.9999,0.4818
v5_stop2.0_tgt3.5_tw240,2024,121,29.9752,0.5702
v5_stop2.0_tgt3.5_tw240,2025,118,-51.5282,0.2542
v5_stop2.0_tgt4.0_tw240,2020,102,67.2582,0.6275
v5_stop2.0_tgt4.0_tw240,2021,79,21.0757,0.5063
v5_stop2.0_tgt4.0_tw240,2022,99,5.5754,0.4040
v5_stop2.0_tgt4.0_tw240,2023,110,11.4999,0.4818
v5_stop2.0_tgt4.0_tw240,2024,121,36.7252,0.5702
v5_stop2.0_tgt4.0_tw240,2025,118,-47.0282,0.2542
