feature,symbol,asset_class,count,n_years,per_year,n_with_outcomes,pct_thesis_up,hour_mode_utc,fwd10_mfe_pts_mean,fwd10_mae_pts_mean,fwd10_ratio_mfe_mae,fwd10_last_close_thesis_mean,fwd10_last_close_thesis_hitrate,fwd50_mfe_pts_mean,fwd50_mae_pts_mean,fwd50_ratio_mfe_mae,fwd50_last_close_thesis_mean,fwd50_last_close_thesis_hitrate
first_third_range,ZF.c.0,bond,2034,9,226.0,2016,0.0,5,,,,,,,,,,
first_third_range,ZN.c.0,bond,2375,9,263.9,2371,0.0,5,,,,,,,,,,
first_third_range,ZS.c.0,grain,2106,9,234.0,2089,0.0,5,,,,,,,,,,
first_third_range,ZT.c.0,bond,1973,9,219.2,1950,0.0,5,,,,,,,,,,
first_third_range,ZW.c.0,grain,2070,9,230.0,2060,0.0,5,,,,,,,,,,
interval_true_range,6A.c.0,fx,8060,9,895.6,7826,0.0,20,,,,,,,,,,
interval_true_range,6B.c.0,fx,7918,9,879.8,7670,0.0,20,,,,,,,,,,
interval_true_range,6C.c.0,fx,6844,9,760.4,6404,0.0,20,,,,,,,,,,
interval_true_range,6E.c.0,fx,8511,9,945.7,8380,0.0,20,,,,,,,,,,
interval_true_range,6J.c.0,fx,8209,9,912.1,8012,0.0,20,,,,,,,,,,
interval_true_range,6N.c.0,fx,8646,9,960.7,8545,0.0,20,,,,,,,,,,
interval_true_range,6S.c.0,fx,8655,9,961.7,8564,0.0,20,,,,,,,,,,
interval_true_range,BZ.c.0,energy,8645,9,960.6,8541,0.0,20,,,,,,,,,,
interval_true_range,CL.c.0,energy,8657,9,961.9,8556,0.0,20,,,,,,,,,,
interval_true_range,ES.c.0,index,8634,9,959.3,8519,0.0,20,,,,,,,,,,
interval_true_range,HO.c.0,energy,8617,9,957.4,8502,0.0,20,,,,,,,,,,
interval_true_range,NG.c.0,energy,8657,9,961.9,8556,0.0,20,,,,,,,,,,
interval_true_range,NQ.c.0,index,8634,9,959.3,8518,0.0,20,,,,,,,,,,
interval_true_range,RB.c.0,energy,8616,9,957.3,8497,0.0,20,,,,,,,,,,
