entry_time,entry_price,exit_time,exit_price,stop,tp,risk,direction,exit_reason,pnl_r,fvg_high,fvg_low,quarter,month,hour
2024-09-27 10:13,20312.5,2024-09-27 10:16,20305.75,20305.75,20332.75,6.75,BULLISH,SL,-1.0,20314.75,20310.75,2024Q3,2024-09,10
2024-09-27 11:45,20280.25,2024-09-27 12:00,20227.75,20297.75,20227.75,17.5,BEARISH,3R,3.0,20292.75,20278.25,2024Q3,2024-09,11
2024-09-30 10:01,20203.0,2024-09-30 10:06,20184.25,20184.25,20259.25,18.75,BULLISH,SL,-1.0,20199.5,20189.25,2024Q3,2024-09,10
2024-09-30 11:43,20187.5,2024-09-30 11:44,20198.0,20184.0,20198.0,3.5,BULLISH,3R,3.0,20197.25,20189.0,2024Q3,2024-09,11
2024-10-02 10:05,19952.25,2024-10-02 10:17,19980.25,19980.25,19868.25,28.0,BEARISH,SL,-1.0,19975.25,19953.0,2024Q4,2024-10,10
2024-10-02 13:00,19980.0,2024-10-02 13:27,20009.25,19970.25,20009.25,9.75,BULLISH,3R,3.0,19985.5,19975.25,2024Q4,2024-10,13
2024-10-03 13:28,19973.0,2024-10-03 15:28,19917.25,20026.25,19813.25,53.25,BEARISH,timeout,1.0469483568075117,20021.25,19975.0,2024Q4,2024-10,13
2024-10-04 10:53,20112.0,2024-10-04 12:53,20160.75,20190.75,19875.75,78.75,BEARISH,timeout,-0.6190476190476191,20185.75,20119.25,2024Q4,2024-10,10
2024-10-04 12:14,20099.0,2024-10-04 12:15,20101.25,20101.25,20092.25,2.25,BEARISH,SL,-1.0,20096.25,20091.0,2024Q4,2024-10,12
2024-10-08 10:23,20163.0,2024-10-08 12:23,20229.5,20110.75,20319.75,52.25,BULLISH,timeout,1.2727272727272727,20155.75,20115.75,2024Q4,2024-10,10
2024-10-08 11:12,20228.0,2024-10-08 13:08,20184.5,20184.5,20358.5,43.5,BULLISH,SL,-1.0,20229.5,20189.5,2024Q4,2024-10,11
2024-10-09 10:51,20331.0,2024-10-09 11:36,20415.75,20302.75,20415.75,28.25,BULLISH,3R,3.0,20324.75,20307.75,2024Q4,2024-10,10
2024-10-09 13:54,20389.0,2024-10-09 15:52,20479.75,20358.75,20479.75,30.25,BULLISH,3R,3.0,20373.0,20363.75,2024Q4,2024-10,13
2024-10-10 09:36,20377.5,2024-10-10 11:15,20430.25,20430.25,20219.25,52.75,BEARISH,SL,-1.0,20425.25,20374.5,2024Q4,2024-10,9
